date,city,variant,rna,rna_norm,flow,proportion,rna_norm_smooth,new_cases,cases_smooth
2021-03-31,Zürich (ZH),B.1.1.7 (Alpha),2965163817559.335,6.0547843393661696,146486,0.9293636593534929,7.088451042102739,22.322957900212312,19.655322261316623
2021-04-01,Zürich (ZH),B.1.1.7 (Alpha),3933868188654.1626,8.032852472009282,142953,0.9327541063578428,7.474728378479604,24.18676907855626,20.092725514007174
2021-04-02,Zürich (ZH),B.1.1.7 (Alpha),3240829742729.7266,6.6176867047378165,133818,0.9363656404625408,7.895115244680315,17.00564736942675,20.661062382275254
2021-04-03,Zürich (ZH),B.1.1.7 (Alpha),2401368779858.1396,4.903530117029347,130542,0.9399721706295442,8.232978796283287,13.445764352441614,21.223916708182525
2021-04-04,Zürich (ZH),B.1.1.7 (Alpha),2581950322915.3145,5.272272745145299,125011,0.9436994243818672,8.511534174762499,11.960194694267514,21.742525620997483
2021-04-05,Zürich (ZH),B.1.1.7 (Alpha),4380002693504.759,8.943847067729022,133548,0.9472814573352976,8.87834638018042,17.57648446921444,22.295937106989733
2021-04-06,Zürich (ZH),B.1.1.7 (Alpha),4005718875297.1387,8.179569631338673,149051,0.94995124876793,9.214891545792963,31.17259239065817,22.963199152428896
2021-04-07,Zürich (ZH),B.1.1.7 (Alpha),11210225775119.518,22.89097791562216,157868,0.9508365362407896,9.388313317728183,27.805721184713377,23.498593269773277
2021-04-08,Zürich (ZH),B.1.1.7 (Alpha),3453577177768.6255,7.052111214535771,143090,0.9494290996698244,9.52467796535676,27.759123872611465,23.76900710336953
2021-04-09,Zürich (ZH),B.1.1.7 (Alpha),5118592630688.319,10.452027748469094,140975,0.9460563416582592,9.620717738351875,34.99496997876857,24.022397837319783
2021-04-10,Zürich (ZH),B.1.1.7 (Alpha),4039364980399.733,8.248274068189497,134810,0.9419524191578502,9.55776121320117,25.108033545647558,24.351045581635315
2021-04-11,Zürich (ZH),B.1.1.7 (Alpha),5455537169108.368,11.140059385162923,149625,0.9383445185559894,9.407827361981543,16.830013348195326,24.330461043617596
2021-04-12,Zürich (ZH),B.1.1.7 (Alpha),6426085542871.9375,13.12189292139498,320592,0.935566360222538,9.191821966474075,26.630289188959658,23.973121582578614
2021-04-13,Zürich (ZH),B.1.1.7 (Alpha),3676980571277.268,7.508294903398796,152001.79001666664,0.9331475114449264,8.786036000827389,29.102852403397026,23.61335664317721
