data_type,onset_month,onset_year,ktn,mean,sd,shape,scale,count
Confirmed cases,3,2021,FR,2.4411764705882355,2.7654927389394026,0.7792078257710264,3.132895217232566,34
Confirmed cases,3,2021,GE,3.323943661971831,3.329535345033116,0.9966439835625758,3.3351364346676284,142
Confirmed cases,3,2021,GR,2.8095238095238093,3.218991264651826,0.7617734593837533,3.6881355932203395,21
Confirmed cases,3,2021,SG,3.6621621621621623,3.9940950490711207,0.840694779976723,4.356113835110953,74
Confirmed cases,3,2021,TI,2.887218045112782,2.659044415216893,1.1789841961707621,2.4489030934343434,133
Confirmed cases,3,2021,ZH,2.762214983713355,3.0473612788917035,0.8216125487099846,3.3619435195461826,307
Confirmed cases,4,2021,FR,4.964285714285714,3.20280135318076,2.4024454269135123,2.06634692246203,28
Confirmed cases,4,2021,GE,3.6029411764705883,4.046542944776636,0.7927678615452887,4.544761904761905,136
Confirmed cases,4,2021,GR,3.3870967741935485,3.4802051601865727,0.9472083486070381,3.5758730158730163,31
Confirmed cases,4,2021,SG,3.4722222222222223,3.455847146390813,1.0094991883057796,3.4395492957746474,72
Confirmed cases,4,2021,TI,2.869158878504673,3.644805329453663,0.6196700706445643,4.630139512015241,107
Confirmed cases,4,2021,ZH,3.1375358166189113,3.261319051599893,0.9255306584987648,3.3899858290033063,349
Confirmed cases,5,2021,FR,3.6315789473684212,3.5309823360234955,1.0577910536190382,3.4331723027375203,19
Confirmed cases,5,2021,GE,2.8275862068965516,2.920814180137814,0.9371818132913404,3.0171159606332902,58
Confirmed cases,5,2021,GR,1.5,1.7888543819998317,0.7031250000000001,2.1333333333333333,16
Confirmed cases,5,2021,SG,3.3777777777777778,2.6992329625022338,1.5659626908205864,2.156997607655502,45
Confirmed cases,5,2021,TI,2.769230769230769,3.2952957923340294,0.7062028880210699,3.921296296296296,13
Confirmed cases,5,2021,ZH,3.074626865671642,2.4605973529629237,1.5613624493192404,1.969194831739543,134
Confirmed cases,6,2021,FR,2.6,3.4351128074635335,0.5728813559322035,4.538461538461538,5
Confirmed cases,6,2021,GE,6.166666666666667,7.359800721939872,0.7020512820512821,8.783783783783782,6
Confirmed cases,6,2021,GR,2.4285714285714284,2.9920529661723827,0.6588145896656533,3.6862745098039227,7
Confirmed cases,6,2021,SG,3.7142857142857144,3.051931472737505,1.481156879929886,2.5076923076923077,21
Confirmed cases,6,2021,TI,14,NA,NA,NA,1
Confirmed cases,6,2021,ZH,3.774193548387097,2.8601827146688237,1.7412486007937318,2.1675213675213674,31
Confirmed cases,7,2021,FR,2.6666666666666665,0.5773502691896257,21.333333333333332,0.125,3
Confirmed cases,7,2021,GE,5.111111111111111,5.680934419003257,0.8094519859225741,6.314285714285715,36
Confirmed cases,7,2021,GR,2.85,2.680828622881955,1.1301904064445258,2.5216989843028625,20
Confirmed cases,7,2021,SG,5.928571428571429,4.480114794447635,1.7511438739196743,3.3855421686746996,14
Confirmed cases,7,2021,TI,4.882352941176471,4.3572117366094405,1.2555702373900763,3.8885542168674694,17
Confirmed cases,7,2021,ZH,3.839080459770115,4.567003911319662,0.7066293325885372,5.4329480573736255,87
Confirmed cases,8,2021,FR,4.086956521739131,5.248602298417792,0.6063350900307423,6.7404255319148945,46
Confirmed cases,8,2021,GE,4.233333333333333,4.074378507710057,1.079548573614111,3.921392178918811,120
Confirmed cases,8,2021,GR,2.901098901098901,3.4514246496674548,0.7065262078484439,4.106144781144781,91
Confirmed cases,8,2021,SG,3.7941176470588234,3.7741650057956697,1.010601223009903,3.754317292194336,102
Confirmed cases,8,2021,TI,3.3333333333333335,3.415650255319866,0.9523809523809526,3.4999999999999996,51
Confirmed cases,8,2021,ZH,3.460431654676259,3.553707815268901,0.9481938135900043,3.649498240844395,417
Confirmed cases,9,2021,FR,4.074074074074074,3.9606324856782265,1.0581049629360566,3.85034965034965,27
Confirmed cases,9,2021,GE,3.619047619047619,3.8758311835696326,0.8718843653125391,4.150834403080873,42
Confirmed cases,9,2021,GR,2.196261682242991,2.3927534164657387,0.8425045969057672,2.6068245684464073,107
Confirmed cases,9,2021,SG,2.782608695652174,2.80162539596839,0.9864705965687732,2.8207720588235294,69
Confirmed cases,9,2021,TI,3.1538461538461537,4.038278384125134,0.6099419448476052,5.170731707317073,13
Confirmed cases,9,2021,ZH,2.657232704402516,2.6425529936458667,1.0111411083161987,2.627954380004853,318
Confirmed cases,10,2021,FR,2.769230769230769,2.597039734893439,1.1370016844469397,2.4355555555555557,26
Confirmed cases,10,2021,GE,3.9,4.056018004309405,0.9245480049875312,4.2182774490466795,40
Confirmed cases,10,2021,GR,1.4864864864864864,1.5920221526519456,0.8718137568848467,1.7050505050505051,37
Confirmed cases,10,2021,SG,3.7209302325581395,3.9238318334150577,0.8992537999996654,4.137797619047619,43
Confirmed cases,10,2021,TI,3.142857142857143,4.2594432902501635,0.5444319460067493,5.772727272727272,7
Confirmed cases,10,2021,ZH,2.983050847457627,3.021654002723107,0.9746122038903855,3.0607567148760335,177
Confirmed cases,11,2021,FR,3.8867924528301887,3.73991144155997,1.0800902966358044,3.598581030619865,53
Confirmed cases,11,2021,GE,3.911764705882353,3.878660685674496,1.0171426648629676,3.845836814257867,136
Confirmed cases,11,2021,GR,2.3461538461538463,2.834553015802788,0.6850839699065718,3.4246223079395692,52
Confirmed cases,11,2021,SG,3.1875,2.9319025617470555,1.1819560309199448,2.6968008255933955,96
Confirmed cases,11,2021,TI,1.8846153846153846,2.5945179472461164,0.5276331891276996,3.5718287314925967,52
Confirmed cases,11,2021,ZH,3.1824817518248176,4.249057603945116,0.5609790034538077,5.673085324461471,274
Confirmed cases,12,2021,FR,3.3220338983050848,4.439014638897729,0.5600605273013823,5.931562280084447,59
Confirmed cases,12,2021,GE,3.415625,3.7715823554510703,0.8201497873554392,4.164635597862717,320
Confirmed cases,12,2021,GR,4.131578947368421,5.163128386631704,0.6403335584766459,6.452229299363056,38
Confirmed cases,12,2021,SG,3.0638297872340425,3.165025643743632,0.9370759720147602,3.269563918757467,94
Confirmed cases,12,2021,TI,3.186046511627907,3.70853269828942,0.7380741550868738,4.316702447402319,86
Confirmed cases,12,2021,ZH,2.5675675675675675,2.9492339876048774,0.7579233764584641,3.3876347495244143,333
Confirmed cases,1,2022,FR,2.982142857142857,4.645994386055996,0.4120021922492969,7.238172304040566,112
Confirmed cases,1,2022,GE,1.9445843828715366,3.1801073835274165,0.37391252826056964,5.200639817867797,397
Confirmed cases,1,2022,GR,2.7142857142857144,4.344536799245692,0.39032301662386815,6.953947368421052,49
Confirmed cases,1,2022,SG,2.6847826086956523,3.130598186795416,0.7354676810234144,3.6504426747341725,92
Confirmed cases,1,2022,TI,1.6639344262295082,2.7200226534597034,0.3742203256954083,4.446403126653911,122
Confirmed cases,1,2022,ZH,2.1820448877805485,3.3925325065472918,0.41369409839790516,5.2745371428571435,401
Confirmed cases,2,2022,FR,3,3.605551275463989,0.6923076923076924,4.333333333333333,59
Confirmed cases,2,2022,GE,2.9210526315789473,3.677592365641531,0.630887010897886,4.630072550426533,114
Confirmed cases,2,2022,GR,2.121212121212121,3.1400395674017365,0.45634989930034103,4.648214285714285,33
Confirmed cases,2,2022,SG,2.253968253968254,2.8339431890875892,0.6325768730614123,3.563153112221718,63
Confirmed cases,2,2022,TI,1.88,2.512336907083498,0.5599637868598034,3.3573599652627006,50
Confirmed cases,2,2022,ZH,2.0578947368421052,3.616411695437303,0.32381024313362033,6.355249040077199,380
Confirmed cases,3,2022,FR,0.8823529411764706,1.45268514057488,0.3689280590284894,2.3916666666666666,17
Confirmed cases,3,2022,GE,1.3529411764705883,1.920895513085632,0.4960784313725491,2.727272727272727,34
Confirmed cases,3,2022,GR,1,1.7580981459830651,0.3235294117647059,3.090909090909091,12
Confirmed cases,3,2022,SG,1.3636363636363635,1.4653279998642446,0.8660190615835776,1.5746031746031748,22
Confirmed cases,3,2022,TI,1.375,1.5,0.8402777777777778,1.6363636363636365,16
Confirmed cases,3,2022,ZH,0.9831932773109243,1.5069510877833334,0.4256763166882407,2.309720411415327,119
