;sars_cov2_rna [gc/(d*100000 capita)];median_7d_sars_cov2_rna [gc/(d*100000 capita)];new_cases [1/(d*100000 capita)];median_7d_new_cases [1/(d*100000 capita)];quantification_flag [{Q: >LOQ,D: >LOD,N: <LOD}];flow [m^3/d]
2020-10-31;7869264333333.333;13343980416666.668;111.14163859166668;132.5255863708333;Q;101321
2020-11-01;;13343980416666.668;124.67639534166668;132.5255863708333;N;103447
2020-11-02;8733084666666.667;8733084666666.667;184.27512082916667;143.1285909625;Q;99052
2020-11-03;;8733084666666.667;156.3819173625;156.3819173625;N;108764
2020-11-04;;8301174500000.0;165.47224822500002;156.3819173625;N;104892
2020-11-05;;8301174500000.0;151.34931204166668;151.34931204166668;N;97173
2020-11-06;;8301174500000.0;138.69207231666667;151.34931204166668;N;97335
2020-11-07;;8733084666666.667;114.53876646666666;151.34931204166668;N;98526
2020-11-08;9102029333333.332;8917557000000.0;104.92444060000001;151.34931204166668;Q;93514
2020-11-09;;9102029333333.332;174.474003225;151.34931204166668;N;88884
2020-11-10;;9102029333333.332;139.5104697291667;139.5104697291667;N;86007
2020-11-11;4122946333333.3335;6612487833333.334;111.1917750375;138.69207231666667;Q;86194
2020-11-12;;6612487833333.334;123.43184318750001;123.43184318750001;N;83238
2020-11-13;;6612487833333.334;103.02605259166667;114.53876646666666;N;81075
2020-11-14;90231466666.66666;4122946333333.3335;80.41445108750001;111.1917750375;D;79616
2020-11-15;;2106588900000.0;44.2103636375;111.1917750375;N;155222
2020-11-16;;2106588900000.0;102.45226177916668;103.02605259166667;N;91696
2020-11-17;3606922333333.3335;3606922333333.3335;82.0032356625;102.45226177916668;Q;95759
2020-11-18;;1848576900000.0;75.54352245833333;82.0032356625;N;89634
2020-11-19;;1848576900000.0;62.02712889166667;80.41445108750001;N;109761
2020-11-20;;1848576900000.0;57.4367550125;75.54352245833333;N;90695
2020-11-21;;3606922333333.3335;44.74590718333333;62.02712889166667;N;84482
2020-11-22;20725397000000.0;12166159666666.668;33.45146945416667;62.02712889166667;Q;83402
2020-11-23;;12166159666666.668;57.614145958333324;57.614145958333324;N;86761
2020-11-24;7592238000000.0;14158817500000.0;46.291411775;57.4367550125;Q;85788
2020-11-25;;14158817500000.0;48.36234245833334;48.36234245833334;N;84642
2020-11-26;10188868500000.0;10188868500000.0;48.99414537083333;48.36234245833334;Q;83859
2020-11-27;;10188868500000.0;40.09670533333334;46.291411775;N;82415
2020-11-28;;10188868500000.0;32.32413068333334;46.291411775;N;79606
2020-11-29;9468000000000.0;9468000000000.0;26.39414592083333;46.291411775;Q;72000
2020-11-30;;9468000000000.0;42.4747856;42.4747856;N;86124
2020-12-01;;9828434250000.0;46.71004604583333;42.4747856;N;103854
2020-12-02;;9828434250000.0;45.13402437916667;42.4747856;N;81537
2020-12-03;6006535833333.334;7737267916666.667;54.525060187499996;42.4747856;Q;80987
